Gene name,Gene stable ID version,Human gene stable ID,Human gene name,Human homology type,%id. target Human gene identical to query gene,%id. query gene identical to target Human gene,Human Gene-order conservation score,"Human orthology confidence [0 low, 1 high]",Mouse gene stable ID,Mouse gene name,Mouse homology type,%id. target Mouse gene identical to query gene,%id. query gene identical to target Mouse gene,Mouse Gene-order conservation score,"Mouse orthology confidence [0 low, 1 high]"
ABCA6,ENSCJAG00000000190.4,ENSG00000154262,ABCA6,ortholog_one2one,89.0184,89.7341,100.0,1.0,ENSMUSG00000044749,Abca6,ortholog_one2one,65.3374,65.5788,100.0,1.0
ABCA7,ENSCJAG00000007549.6,ENSG00000064687,ABCA7,ortholog_one2one,91.5341,91.1929,100.0,1.0,ENSMUSG00000035722,Abca7,ortholog_one2one,77.4088,76.3729,100.0,1.0
ABCB10,ENSCJAG00000011011.5,ENSG00000135776,ABCB10,ortholog_one2one,93.5616,92.5474,100.0,1.0,ENSMUSG00000031974,Abcb10,ortholog_one2one,74.3836,75.9441,100.0,1.0
ABCB11,ENSCJAG00000006261.5,ENSG00000073734,ABCB11,ortholog_one2one,93.2353,95.9879,50.0,1.0,ENSMUSG00000027048,Abcb11,ortholog_one2one,78.6765,80.9992,50.0,0.0
ABCB4,ENSCJAG00000014528.5,ENSG00000005471,ABCB4,ortholog_one2one,95.4121,95.9343,100.0,1.0,ENSMUSG00000042476,Abcb4,ortholog_one2one,90.2022,90.9091,100.0,1.0
ABCB5,ENSCJAG00000001194.5,ENSG00000004846,ABCB5,ortholog_one2one,94.1925,94.1925,100.0,1.0,ENSMUSG00000072791,Abcb5,ortholog_one2one,78.8385,78.9641,100.0,1.0
ABCB6,ENSCJAG00000011512.5,ENSG00000115657,ABCB6,ortholog_one2one,95.3737,95.4869,100.0,1.0,ENSMUSG00000026198,Abcb6,ortholog_one2one,89.0866,89.1924,100.0,1.0
ABCB7,ENSCJAG00000016979.5,ENSG00000131269,ABCB7,ortholog_one2one,88.3832,98.1383,100.0,1.0,ENSMUSG00000031333,Abcb7,ortholog_one2one,82.994,92.1543,100.0,1.0
ABCB8,ENSCJAG00000020233.6,ENSG00000197150,ABCB8,ortholog_one2one,92.6184,92.6184,100.0,1.0,ENSMUSG00000028973,Abcb8,ortholog_one2one,82.312,82.4268,100.0,1.0
ABCB9,ENSCJAG00000016428.5,ENSG00000150967,ABCB9,ortholog_one2one,97.7893,98.1723,100.0,1.0,ENSMUSG00000029408,Abcb9,ortholog_one2one,94.0182,94.8819,100.0,1.0
ABCC1,ENSCJAG00000005641.5,ENSG00000103222,ABCC1,ortholog_one2one,93.4938,93.8602,75.0,1.0,ENSMUSG00000023088,Abcc1,ortholog_one2one,86.9226,87.4346,50.0,0.0
ABCC10,ENSCJAG00000005446.4,ENSG00000124574,ABCC10,ortholog_one2one,89.9935,93.4316,100.0,1.0,ENSMUSG00000032842,Abcc10,ortholog_one2one,79.5997,80.7995,100.0,1.0
ABCC11,ENSCJAG00000012514.5,ENSG00000121270,ABCC11,ortholog_one2one,86.5217,86.3965,100.0,1.0,,,,,,,
ABCC2,ENSCJAG00000017142.4,ENSG00000023839,ABCC2,ortholog_one2one,92.4919,92.4919,75.0,1.0,ENSMUSG00000025194,Abcc2,ortholog_one2one,77.411,77.5113,100.0,1.0
ABCC3,ENSCJAG00000018609.6,ENSG00000108846,ABCC3,ortholog_one2one,85.1012,90.8972,100.0,1.0,ENSMUSG00000020865,Abcc3,ortholog_one2one,73.6971,78.9232,100.0,1.0
ABCC4,ENSCJAG00000003300.5,ENSG00000125257,ABCC4,ortholog_one2one,93.8416,96.6038,75.0,1.0,ENSMUSG00000032849,Abcc4,ortholog_one2one,84.824,87.3208,75.0,1.0
ABCC5,ENSCJAG00000013172.5,ENSG00000114770,ABCC5,ortholog_one2one,99.4433,99.4433,100.0,1.0,ENSMUSG00000022822,Abcc5,ortholog_one2one,94.92,94.9861,100.0,1.0
ABCC6,ENSCJAG00000005769.5,ENSG00000091262,ABCC6,ortholog_one2one,93.3602,92.6148,50.0,1.0,ENSMUSG00000030834,Abcc6,ortholog_one2one,77.666,77.3031,0.0,0.0
ABCC8,ENSCJAG00000009368.5,ENSG00000006071,ABCC8,ortholog_one2one,93.3165,93.6116,100.0,1.0,ENSMUSG00000040136,Abcc8,ortholog_one2one,90.4161,90.3023,50.0,0.0
ABCC9,ENSCJAG00000042358.3,ENSG00000069431,ABCC9,ortholog_one2one,95.7514,97.4822,100.0,1.0,ENSMUSG00000030249,Abcc9,ortholog_one2one,93.215,95.0841,100.0,1.0
ABCD1,ENSCJAG00000011337.5,ENSG00000101986,ABCD1,ortholog_one2one,95.8333,95.7047,100.0,1.0,ENSMUSG00000031378,Abcd1,ortholog_one2one,90.7258,91.712,100.0,1.0
ABCD2,ENSCJAG00000017942.5,ENSG00000173208,ABCD2,ortholog_one2one,98.3784,98.3784,100.0,1.0,ENSMUSG00000055782,Abcd2,ortholog_one2one,93.7838,93.6572,100.0,1.0
ABCD3,ENSCJAG00000018054.5,ENSG00000117528,ABCD3,ortholog_one2one,94.8605,98.0273,100.0,1.0,ENSMUSG00000028127,Abcd3,ortholog_one2one,91.63,94.6889,100.0,1.0
ABCD4,ENSCJAG00000020446.5,ENSG00000119688,ABCD4,ortholog_one2one,90.939,91.0891,100.0,1.0,ENSMUSG00000021240,Abcd4,ortholog_one2one,83.855,83.9934,100.0,1.0
ABCE1,ENSCJAG00000002636.5,ENSG00000164163,ABCE1,ortholog_one2one,100.0,100.0,75.0,1.0,ENSMUSG00000058355,Abce1,ortholog_one2one,100.0,100.0,50.0,0.0
ABCF1,ENSCJAG00000019968.5,ENSG00000204574,ABCF1,ortholog_one2one,97.9786,97.5148,100.0,1.0,ENSMUSG00000038762,Abcf1,ortholog_one2one,90.7253,91.1589,100.0,1.0
ABCF2,ENSCJAG00000020371.5,ENSG00000033050,ABCF2,ortholog_one2one,99.1987,99.3579,100.0,1.0,ENSMUSG00000028953,Abcf2,ortholog_one2one,99.359,98.7261,100.0,1.0
ABCF3,ENSCJAG00000012959.3,ENSG00000161204,ABCF3,ortholog_one2one,98.3075,98.3075,100.0,1.0,ENSMUSG00000003234,Abcf3,ortholog_one2one,95.9097,95.9097,100.0,1.0
ABCG1,ENSCJAG00000033076.5,ENSG00000160179,ABCG1,ortholog_one2one,96.8889,98.1982,100.0,1.0,ENSMUSG00000024030,Abcg1,ortholog_one2one,94.0741,95.3453,50.0,0.0
ABCG4,ENSCJAG00000013965.5,ENSG00000172350,ABCG4,ortholog_one2one,99.226,99.226,100.0,1.0,ENSMUSG00000032131,Abcg4,ortholog_one2one,96.5944,96.5944,100.0,1.0
ABCG5,ENSCJAG00000000847.5,ENSG00000138075,ABCG5,ortholog_one2one,93.2619,93.5484,100.0,1.0,ENSMUSG00000040505,Abcg5,ortholog_one2one,81.0107,81.135,100.0,1.0
ABCG8,ENSCJAG00000000833.4,ENSG00000143921,ABCG8,ortholog_one2one,84.903,91.0847,100.0,1.0,ENSMUSG00000024254,Abcg8,ortholog_one2one,74.9307,80.3863,100.0,1.0
ABHD1,ENSCJAG00000001229.4,ENSG00000143994,ABHD1,ortholog_one2one,91.3366,91.1111,100.0,1.0,ENSMUSG00000006638,Abhd1,ortholog_one2one,51.7327,50.6053,100.0,1.0
ABHD10,ENSCJAG00000020230.4,ENSG00000144827,ABHD10,ortholog_one2one,90.8497,90.8497,100.0,1.0,ENSMUSG00000033157,Abhd10,ortholog_one2one,75.4902,77.7778,100.0,1.0
ABHD11,ENSCJAG00000016768.4,ENSG00000106077,ABHD11,ortholog_one2one,89.4569,91.5033,100.0,1.0,ENSMUSG00000040532,Abhd11,ortholog_one2one,68.0511,69.3811,100.0,1.0
ABHD12,ENSCJAG00000011654.6,ENSG00000100997,ABHD12,ortholog_one2one,80.9829,95.2261,100.0,1.0,ENSMUSG00000032046,Abhd12,ortholog_one2one,77.1367,90.7035,100.0,1.0
ABHD12B,ENSCJAG00000006780.5,ENSG00000131969,ABHD12B,ortholog_one2one,94.1989,94.1989,100.0,1.0,ENSMUSG00000090121,Abhd12b,ortholog_one2one,72.6519,73.2591,100.0,1.0
ABHD13,ENSCJAG00000014685.4,ENSG00000139826,ABHD13,ortholog_one2one,80.3828,99.7033,100.0,1.0,ENSMUSG00000040396,Abhd13,ortholog_one2one,77.512,96.1424,100.0,1.0
ABHD14B,ENSCJAG00000005905.5,ENSG00000114779,ABHD14B,ortholog_one2one,73.3577,95.7143,100.0,1.0,ENSMUSG00000042073,Abhd14b,ortholog_one2one,67.1533,87.619,100.0,1.0
ABHD15,ENSCJAG00000013574.3,ENSG00000168792,ABHD15,ortholog_one2one,94.8718,94.8718,100.0,1.0,ENSMUSG00000000686,Abhd15,ortholog_one2one,85.4701,87.146,75.0,1.0
ABHD16A,ENSCJAG00000002906.6,ENSG00000204427,ABHD16A,ortholog_one2one,98.9247,98.9247,100.0,1.0,ENSMUSG00000007036,Abhd16a,ortholog_one2one,95.3405,95.3405,100.0,1.0
ABHD16B,ENSCJAG00000010499.4,ENSG00000183260,ABHD16B,ortholog_one2one,88.4861,88.4861,100.0,1.0,ENSMUSG00000055882,Abhd16b,ortholog_one2one,82.3028,81.4346,100.0,1.0
ABHD17A,ENSCJAG00000036983.4,ENSG00000129968,ABHD17A,ortholog_one2one,98.7097,98.7097,100.0,1.0,ENSMUSG00000003346,Abhd17a,ortholog_one2one,91.9355,91.9355,100.0,1.0
ABHD17B,ENSCJAG00000001448.5,ENSG00000107362,ABHD17B,ortholog_one2one,97.9452,99.3056,75.0,1.0,ENSMUSG00000047368,Abhd17b,ortholog_one2one,97.6027,98.9583,50.0,0.0
ABHD17C,ENSCJAG00000007705.6,ENSG00000136379,ABHD17C,ortholog_one2one,61.5238,98.1763,100.0,1.0,ENSMUSG00000038459,Abhd17c,ortholog_one2one,57.5238,94.375,100.0,1.0
ABHD18,ENSCJAG00000003356.5,ENSG00000164074,ABHD18,ortholog_one2one,95.3917,89.2241,100.0,1.0,ENSMUSG00000037818,Abhd18,ortholog_one2one,89.4009,83.6207,100.0,1.0
ABHD2,ENSCJAG00000073988.1,ENSG00000140526,ABHD2,ortholog_one2one,99.5294,99.5294,100.0,1.0,ENSMUSG00000039202,Abhd2,ortholog_one2one,98.8235,98.8235,100.0,1.0
ABHD3,ENSCJAG00000020529.5,ENSG00000158201,ABHD3,ortholog_one2one,97.555,97.555,100.0,1.0,ENSMUSG00000002475,Abhd3,ortholog_one2one,93.8875,93.4307,100.0,1.0
ABHD4,ENSCJAG00000008681.5,ENSG00000100439,ABHD4,ortholog_one2one,86.8347,90.6433,100.0,1.0,ENSMUSG00000040997,Abhd4,ortholog_one2one,86.5546,87.0423,100.0,1.0
ABHD5,ENSCJAG00000046193.3,ENSG00000011198,ABHD5,ortholog_one2one,97.9943,97.9943,100.0,1.0,ENSMUSG00000032540,Abhd5,ortholog_one2one,93.9828,93.4473,100.0,1.0
ABHD8,ENSCJAG00000009699.5,ENSG00000127220,ABHD8,ortholog_one2one,98.4055,98.4055,100.0,1.0,ENSMUSG00000007950,Abhd8,ortholog_one2one,87.4715,87.4715,100.0,1.0
ABI1,ENSCJAG00000004711.5,ENSG00000136754,ABI1,ortholog_one2one,91.7323,96.8815,25.0,1.0,ENSMUSG00000058835,Abi1,ortholog_one2one,90.1575,95.2183,75.0,1.0
ABI2,ENSCJAG00000005399.5,ENSG00000138443,ABI2,ortholog_one2one,99.631,99.631,100.0,1.0,ENSMUSG00000026782,Abi2,ortholog_one2one,87.8229,97.7413,100.0,1.0
ABI3,ENSCJAG00000007219.5,ENSG00000108798,ABI3,ortholog_one2one,94.2466,93.9891,100.0,1.0,ENSMUSG00000018381,Abi3,ortholog_one2one,83.8356,83.3787,100.0,1.0
ABI3BP,ENSCJAG00000000533.5,ENSG00000154175,ABI3BP,ortholog_one2one,93.3714,91.4894,100.0,1.0,ENSMUSG00000035258,Abi3bp,ortholog_one2one,68.2857,72.9994,100.0,1.0
ABITRAM,ENSCJAG00000038185.3,ENSG00000119328,ABITRAM,ortholog_one2one,98.3425,98.3425,100.0,1.0,ENSMUSG00000038827,Abitram,ortholog_one2one,85.6354,80.3109,100.0,1.0
ABL1,ENSCJAG00000020525.5,ENSG00000097007,ABL1,ortholog_one2one,94.0818,95.6637,100.0,1.0,ENSMUSG00000026842,Abl1,ortholog_one2one,87.8155,88.3538,100.0,1.0
ABL2,ENSCJAG00000008288.4,ENSG00000143322,ABL2,ortholog_one2one,97.9713,98.0541,100.0,1.0,ENSMUSG00000026596,Abl2,ortholog_one2one,94.3364,94.4162,50.0,0.0
ABLIM1,ENSCJAG00000019303.5,ENSG00000099204,ABLIM1,ortholog_one2one,76.2786,90.1028,100.0,1.0,ENSMUSG00000025085,Ablim1,ortholog_one2one,78.0196,83.2753,100.0,1.0
ABLIM2,ENSCJAG00000001053.5,ENSG00000163995,ABLIM2,ortholog_one2one,78.3977,84.9612,100.0,1.0,ENSMUSG00000029095,Ablim2,ortholog_one2one,73.1044,76.9578,100.0,1.0
ABLIM3,ENSCJAG00000021152.5,ENSG00000173210,ABLIM3,ortholog_one2one,94.775,95.6076,100.0,1.0,ENSMUSG00000032735,Ablim3,ortholog_one2one,94.1945,95.1613,100.0,1.0
ABO,ENSCJAG00000017944.5,ENSG00000175164,ABO,ortholog_one2one,84.0541,83.378,100.0,1.0,ENSMUSG00000015787,Abo,ortholog_one2one,67.5676,74.8503,50.0,0.0
ABR,ENSCJAG00000021698.5,ENSG00000159842,ABR,ortholog_one2one,67.4536,93.1315,50.0,1.0,ENSMUSG00000017631,Abr,ortholog_one2one,78.6678,78.7342,50.0,0.0
ABRA,ENSCJAG00000040325.2,ENSG00000174429,ABRA,ortholog_one2one,93.6339,92.6509,100.0,1.0,ENSMUSG00000042895,Abra,ortholog_one2one,81.1671,81.6,100.0,1.0
ABRACL,ENSCJAG00000085952.1,ENSG00000146386,ABRACL,ortholog_one2one,97.5309,97.5309,100.0,1.0,ENSMUSG00000078453,Abracl,ortholog_one2one,92.5926,92.5926,100.0,1.0
ABRAXAS1,ENSCJAG00000005294.5,ENSG00000163322,ABRAXAS1,ortholog_one2one,94.132,94.132,100.0,1.0,ENSMUSG00000035234,Abraxas1,ortholog_one2one,69.9267,70.2703,100.0,1.0
ABRAXAS2,ENSCJAG00000068604.2,ENSG00000165660,ABRAXAS2,ortholog_one2one,92.0635,97.8313,100.0,1.0,ENSMUSG00000030965,Abraxas2,ortholog_one2one,89.5692,93.1604,100.0,1.0
ABT1,ENSCJAG00000011174.5,ENSG00000146109,ABT1,ortholog_one2one,95.5882,95.5882,100.0,1.0,ENSMUSG00000036376,Abt1,ortholog_one2one,78.3088,79.1822,0.0,0.0
ABTB2,ENSCJAG00000010711.5,ENSG00000166016,ABTB2,ortholog_one2one,98.8293,98.8293,100.0,1.0,ENSMUSG00000032724,Abtb2,ortholog_one2one,96.8781,96.9727,100.0,1.0
ABTB3,ENSCJAG00000015118.5,ENSG00000151136,ABTB3,ortholog_one2one,99.456,99.3659,75.0,1.0,ENSMUSG00000020042,Abtb3,ortholog_one2one,97.5521,97.0243,75.0,1.0
ACAA2,ENSCJAG00000004820.5,ENSG00000167315,ACAA2,ortholog_one2one,75.4797,89.1688,100.0,1.0,ENSMUSG00000036880,Acaa2,ortholog_one2one,69.0832,81.6121,100.0,1.0
ACACA,ENSCJAG00000015336.5,ENSG00000278540,ACACA,ortholog_one2one,98.0833,98.783,100.0,1.0,ENSMUSG00000020532,Acaca,ortholog_one2one,95.6667,97.9104,100.0,1.0
ACACB,ENSCJAG00000010041.5,ENSG00000076555,ACACB,ortholog_one2one,96.8267,96.8267,100.0,1.0,ENSMUSG00000042010,Acacb,ortholog_one2one,88.4459,88.8072,100.0,1.0
ACAD10,ENSCJAG00000011944.5,ENSG00000111271,ACAD10,ortholog_one2one,93.6673,93.5788,100.0,1.0,ENSMUSG00000029456,Acad10,ortholog_one2many,79.3951,78.5781,100.0,1.0
ACAD11,ENSCJAG00000003027.5,ENSG00000240303,ACAD11,ortholog_one2one,90.9091,91.0256,100.0,1.0,ENSMUSG00000090150,Acad11,ortholog_one2one,80.6658,80.8729,100.0,1.0
ACAD8,ENSCJAG00000019530.5,ENSG00000151498,ACAD8,ortholog_one2one,91.3876,92.0482,100.0,1.0,ENSMUSG00000031969,Acad8,ortholog_one2one,85.6459,86.6828,100.0,1.0
ACAD9,ENSCJAG00000017490.5,ENSG00000177646,ACAD9,ortholog_one2one,89.185,91.6264,100.0,1.0,ENSMUSG00000027710,Acad9,ortholog_one2one,82.9154,84.64,0.0,0.0
ACADM,ENSCJAG00000006692.5,ENSG00000117054,ACADM,ortholog_one2one,87.6652,94.5368,100.0,1.0,ENSMUSG00000062908,Acadm,ortholog_one2one,82.5991,89.0736,100.0,1.0
ACADS,ENSCJAG00000001332.5,ENSG00000122971,ACADS,ortholog_one2one,82.7801,96.8447,100.0,1.0,ENSMUSG00000029545,Acads,ortholog_one2one,77.1784,90.2913,100.0,1.0
ACADSB,ENSCJAG00000001092.5,ENSG00000196177,ACADSB,ortholog_one2one,77.3148,77.3148,100.0,1.0,ENSMUSG00000030861,Acadsb,ortholog_one2one,67.1296,62.3656,100.0,1.0
ACADVL,ENSCJAG00000016703.5,ENSG00000072778,ACADVL,ortholog_one2one,95.1145,95.1145,100.0,1.0,ENSMUSG00000018574,Acadvl,ortholog_one2one,83.8168,83.689,100.0,1.0
ACAP1,ENSCJAG00000016450.5,ENSG00000072818,ACAP1,ortholog_one2one,96.8919,96.8919,100.0,1.0,ENSMUSG00000001588,Acap1,ortholog_one2one,91.6216,91.6216,100.0,1.0
ACAP2,ENSCJAG00000013894.5,ENSG00000114331,ACAP2,ortholog_one2one,98.8432,98.8432,100.0,1.0,ENSMUSG00000049076,Acap2,ortholog_one2one,95.1157,91.9255,100.0,1.0
ACAP3,ENSCJAG00000011211.5,ENSG00000131584,ACAP3,ortholog_one2one,94.5042,94.8441,100.0,1.0,ENSMUSG00000029033,Acap3,ortholog_one2one,91.2784,91.7167,100.0,1.0
ACAT2,ENSCJAG00000011777.5,ENSG00000120437,ACAT2,ortholog_one2one,94.4584,94.4584,100.0,1.0,ENSMUSG00000023832,Acat2,ortholog_one2many,87.4055,87.4055,100.0,1.0
ACBD3,ENSCJAG00000038924.3,ENSG00000182827,ACBD3,ortholog_one2one,98.1061,98.1061,75.0,1.0,ENSMUSG00000026499,Acbd3,ortholog_one2one,87.8788,88.381,75.0,1.0
ACBD4,ENSCJAG00000012732.4,ENSG00000181513,ACBD4,ortholog_one2one,51.6209,67.8689,100.0,1.0,ENSMUSG00000056938,Acbd4,ortholog_one2one,35.9102,50.1742,100.0,0.0
ACBD5,ENSCJAG00000004775.5,ENSG00000107897,ACBD5,ortholog_one2one,93.097,95.0476,50.0,1.0,ENSMUSG00000026781,Acbd5,ortholog_one2one,80.597,83.0769,100.0,1.0
ACBD6,ENSCJAG00000007953.4,ENSG00000230124,ACBD6,ortholog_one2one,96.4539,96.4539,75.0,1.0,ENSMUSG00000033701,Acbd6,ortholog_one2one,84.0426,84.0426,50.0,0.0
ACBD7,ENSCJAG00000009249.4,ENSG00000176244,ACBD7,ortholog_one2one,87.5,87.5,100.0,1.0,ENSMUSG00000026644,Acbd7,ortholog_one2one,80.6818,79.7753,100.0,1.0
ACCS,ENSCJAG00000011398.5,ENSG00000110455,ACCS,ortholog_one2one,89.1892,92.2156,100.0,1.0,ENSMUSG00000040272,Accs,ortholog_one2one,79.5367,82.0717,100.0,1.0
ACD,ENSCJAG00000016106.5,ENSG00000102977,ACD,ortholog_one2one,88.8889,87.3362,100.0,1.0,ENSMUSG00000038000,Acd,ortholog_one2one,58.6667,63.4615,100.0,1.0
ACE,ENSCJAG00000019755.5,ENSG00000159640,ACE,ortholog_one2one,93.1559,93.7979,100.0,1.0,ENSMUSG00000020681,Ace,ortholog_one2one,82.9658,83.1555,100.0,1.0
ACE2,ENSCJAG00000004290.5,ENSG00000130234,ACE2,ortholog_one2one,87.4408,91.677,100.0,1.0,ENSMUSG00000015405,Ace2,ortholog_one2one,78.436,82.236,100.0,1.0
ACER1,ENSCJAG00000016705.5,ENSG00000167769,ACER1,ortholog_one2one,92.0455,92.0455,100.0,1.0,ENSMUSG00000045019,Acer1,ortholog_one2one,76.8939,74.359,50.0,0.0
ACER2,ENSCJAG00000020617.4,ENSG00000177076,ACER2,ortholog_one2one,67.4121,76.7273,25.0,1.0,ENSMUSG00000038007,Acer2,ortholog_one2one,65.1757,74.1818,50.0,0.0
ACER3,ENSCJAG00000015179.5,ENSG00000078124,ACER3,ortholog_one2one,98.8764,98.8764,100.0,1.0,ENSMUSG00000030760,Acer3,ortholog_one2one,88.764,88.764,100.0,1.0
ACHE,ENSCJAG00000014906.6,ENSG00000087085,ACHE,ortholog_one2one,90.0974,90.3909,100.0,1.0,ENSMUSG00000023328,Ache,ortholog_one2one,82.3052,82.5733,100.0,1.0
ACIN1,ENSCJAG00000008076.6,ENSG00000100813,ACIN1,ortholog_one2one,92.3363,96.7264,100.0,1.0,ENSMUSG00000022185,Acin1,ortholog_one2one,85.6399,86.0239,100.0,1.0
ACKR1,ENSCJAG00000006303.5,ENSG00000213088,ACKR1,ortholog_one2one,90.1786,90.1786,100.0,1.0,ENSMUSG00000037872,Ackr1,ortholog_one2one,59.8214,60.1796,100.0,1.0
